Building vocabulary...

--- Top 10 most frequent words (subsampling) ---
  'the   ' | count: 1061396 | discard prob: 98.7%
  'of    ' | count: 593677  | discard prob: 98.3%
  'and   ' | count: 416629  | discard prob: 98.0%
  'one   ' | count: 411764  | discard prob: 97.9%
  'in    ' | count: 372201  | discard prob: 97.8%
  'a     ' | count: 325873  | discard prob: 97.7%
  'to    ' | count: 316376  | discard prob: 97.6%
  'zero  ' | count: 264975  | discard prob: 97.4%
  'nine  ' | count: 250430  | discard prob: 97.3%
  'two   ' | count: 192644  | discard prob: 97.0%
--------------------------------------------------

--------------------------------------------------
Training config:
  Vocab size:     71290 tokens
  Embedding dim:  100
  Epochs:         5
  Batch size:     256
  Window size:    5
  Neg samples:    5
  Optimizer:      adagrad
  Learning rate:  0.025
--------------------------------------------------
Epoch 1 | Batch  59000 | Loss: 2.6154 | LR: 0.025000 | Tokens/s: 22067
Epoch 1 | Batch  60000 | Loss: 2.6140 | LR: 0.025000 | Tokens/s: 22084
Epoch 1 | Batch  61000 | Loss: 2.6123 | LR: 0.025000 | Tokens/s: 22103
Epoch 1 | Batch  62000 | Loss: 2.6108 | LR: 0.025000 | Tokens/s: 22117
Epoch 1 | Batch  63000 | Loss: 2.6097 | LR: 0.025000 | Tokens/s: 22126
Epoch 1 | Batch  64000 | Loss: 2.6084 | LR: 0.025000 | Tokens/s: 22134
Epoch 1 | Batch  65000 | Loss: 2.6069 | LR: 0.025000 | Tokens/s: 22142
Epoch 1 | Batch  66000 | Loss: 2.6056 | LR: 0.025000 | Tokens/s: 22149
Epoch 1 | Batch  67000 | Loss: 2.6043 | LR: 0.025000 | Tokens/s: 22161
Epoch 1 | Batch  68000 | Loss: 2.6030 | LR: 0.025000 | Tokens/s: 22172
Epoch 1 | Batch  69000 | Loss: 2.6019 | LR: 0.025000 | Tokens/s: 22182
Epoch 1 | Batch  70000 | Loss: 2.5997 | LR: 0.025000 | Tokens/s: 22195
Epoch 1 | Batch  71000 | Loss: 2.5982 | LR: 0.025000 | Tokens/s: 22200
Epoch 1 | Batch  72000 | Loss: 2.5970 | LR: 0.025000 | Tokens/s: 22202
Epoch 1 | Batch  73000 | Loss: 2.5958 | LR: 0.025000 | Tokens/s: 22207
Epoch 1 | Batch  74000 | Loss: 2.5944 | LR: 0.025000 | Tokens/s: 22213
Epoch 1 | Batch  75000 | Loss: 2.5929 | LR: 0.025000 | Tokens/s: 22213
Epoch 1 | Batch  76000 | Loss: 2.5916 | LR: 0.025000 | Tokens/s: 22212
Epoch 1 | Batch  77000 | Loss: 2.5907 | LR: 0.025000 | Tokens/s: 22221
Epoch 1 | Batch  78000 | Loss: 2.5894 | LR: 0.025000 | Tokens/s: 22228
Epoch 1 | Batch  79000 | Loss: 2.5882 | LR: 0.025000 | Tokens/s: 22230
Epoch 1 | Batch  80000 | Loss: 2.5872 | LR: 0.025000 | Tokens/s: 22235
Epoch 1 | Batch  81000 | Loss: 2.5863 | LR: 0.025000 | Tokens/s: 22239
Epoch 1 | Batch  82000 | Loss: 2.5850 | LR: 0.025000 | Tokens/s: 22248
Epoch 1 | Batch  83000 | Loss: 2.5841 | LR: 0.025000 | Tokens/s: 22255
Epoch 1 | Batch  84000 | Loss: 2.5830 | LR: 0.025000 | Tokens/s: 22260
Epoch 1 | Batch  85000 | Loss: 2.5823 | LR: 0.025000 | Tokens/s: 22259
Epoch 1 | Batch  86000 | Loss: 2.5811 | LR: 0.025000 | Tokens/s: 22260
Epoch 1 | Batch  87000 | Loss: 2.5802 | LR: 0.025000 | Tokens/s: 22260
Epoch 1 | Batch  88000 | Loss: 2.5793 | LR: 0.025000 | Tokens/s: 22261
Epoch 1 | Batch  89000 | Loss: 2.5782 | LR: 0.025000 | Tokens/s: 22261
Epoch 1 | Batch  90000 | Loss: 2.5769 | LR: 0.025000 | Tokens/s: 22265
Epoch 1 | Batch  91000 | Loss: 2.5760 | LR: 0.025000 | Tokens/s: 22265
Epoch 1 | Batch  92000 | Loss: 2.5747 | LR: 0.025000 | Tokens/s: 22274
Epoch 1 | Batch  93000 | Loss: 2.5732 | LR: 0.025000 | Tokens/s: 22279
Epoch 1 | Batch  94000 | Loss: 2.5720 | LR: 0.025000 | Tokens/s: 22282
Epoch 1 | Batch  95000 | Loss: 2.5708 | LR: 0.025000 | Tokens/s: 22280
Epoch 1 | Batch  96000 | Loss: 2.5694 | LR: 0.025000 | Tokens/s: 22279
Epoch 1 | Batch  97000 | Loss: 2.5685 | LR: 0.025000 | Tokens/s: 22274
Epoch 1 | Batch  98000 | Loss: 2.5677 | LR: 0.025000 | Tokens/s: 22276
Epoch 1 | Batch  99000 | Loss: 2.5665 | LR: 0.025000 | Tokens/s: 22280
Epoch 1 | Batch 100000 | Loss: 2.5653 | LR: 0.025000 | Tokens/s: 22278
Epoch 1 | Batch 101000 | Loss: 2.5640 | LR: 0.025000 | Tokens/s: 22270
Epoch 1 | Batch 102000 | Loss: 2.5631 | LR: 0.025000 | Tokens/s: 22266
Epoch 1 | Batch 103000 | Loss: 2.5622 | LR: 0.025000 | Tokens/s: 22263
Epoch 1 | Batch 104000 | Loss: 2.5614 | LR: 0.025000 | Tokens/s: 22260
Epoch 1 | Batch 105000 | Loss: 2.5602 | LR: 0.025000 | Tokens/s: 22267
Epoch 1 | Batch 106000 | Loss: 2.5597 | LR: 0.025000 | Tokens/s: 22288
Epoch 1 | Batch 107000 | Loss: 2.5591 | LR: 0.025000 | Tokens/s: 22306
Epoch 1 | Batch 108000 | Loss: 2.5586 | LR: 0.025000 | Tokens/s: 22328
Epoch 1 | Batch 109000 | Loss: 2.5577 | LR: 0.025000 | Tokens/s: 22350
Epoch 1 | Batch 110000 | Loss: 2.5564 | LR: 0.025000 | Tokens/s: 22368
Epoch 1 | Batch 111000 | Loss: 2.5550 | LR: 0.025000 | Tokens/s: 22379
Epoch 1 | Batch 112000 | Loss: 2.5541 | LR: 0.025000 | Tokens/s: 22396
Epoch 1 | Batch 113000 | Loss: 2.5532 | LR: 0.025000 | Tokens/s: 22411
Epoch 1 | Batch 114000 | Loss: 2.5524 | LR: 0.025000 | Tokens/s: 22427
Epoch 1 | Batch 115000 | Loss: 2.5514 | LR: 0.025000 | Tokens/s: 22456
Epoch 1 | Batch 116000 | Loss: 2.5507 | LR: 0.025000 | Tokens/s: 22507
Epoch 1 | Batch 117000 | Loss: 2.5496 | LR: 0.025000 | Tokens/s: 22556
Epoch 1 | Batch 118000 | Loss: 2.5488 | LR: 0.025000 | Tokens/s: 22607
Epoch 1 | Batch 119000 | Loss: 2.5471 | LR: 0.025000 | Tokens/s: 22615
Epoch 1 | Batch 120000 | Loss: 2.5454 | LR: 0.025000 | Tokens/s: 22662
Epoch 1 | Batch 121000 | Loss: 2.5446 | LR: 0.025000 | Tokens/s: 22702
Epoch 1 | Batch 122000 | Loss: 2.5437 | LR: 0.025000 | Tokens/s: 22731
