Building vocabulary...

--- Top 10 most frequent words (subsampling) ---
  'the   ' | count: 1061396 | discard prob: 98.7%
  'of    ' | count: 593677  | discard prob: 98.3%
  'and   ' | count: 416629  | discard prob: 98.0%
  'one   ' | count: 411764  | discard prob: 97.9%
  'in    ' | count: 372201  | discard prob: 97.8%
  'a     ' | count: 325873  | discard prob: 97.7%
  'to    ' | count: 316376  | discard prob: 97.6%
  'zero  ' | count: 264975  | discard prob: 97.4%
  'nine  ' | count: 250430  | discard prob: 97.3%
  'two   ' | count: 192644  | discard prob: 97.0%
--------------------------------------------------

--------------------------------------------------
Training config:
  Vocab size:     71290 tokens
  Embedding dim:  100
  Epochs:         5
  Batch size:     256
  Window size:    5
  Neg samples:    5
  Optimizer:      sgd
  Learning rate:  0.025
--------------------------------------------------
Epoch 1 | Batch  59000 | Loss: 2.6218 | LR: 0.024548 | Tokens/s: 31389
Epoch 1 | Batch  60000 | Loss: 2.6182 | LR: 0.024541 | Tokens/s: 31406
Epoch 1 | Batch  61000 | Loss: 2.6145 | LR: 0.024533 | Tokens/s: 31434
Epoch 1 | Batch  62000 | Loss: 2.6108 | LR: 0.024525 | Tokens/s: 31452
Epoch 1 | Batch  63000 | Loss: 2.6075 | LR: 0.024518 | Tokens/s: 31477
Epoch 1 | Batch  64000 | Loss: 2.6041 | LR: 0.024510 | Tokens/s: 31503
Epoch 1 | Batch  65000 | Loss: 2.6001 | LR: 0.024502 | Tokens/s: 31524
Epoch 1 | Batch  66000 | Loss: 2.5967 | LR: 0.024495 | Tokens/s: 31540
Epoch 1 | Batch  67000 | Loss: 2.5935 | LR: 0.024487 | Tokens/s: 31564
Epoch 1 | Batch  68000 | Loss: 2.5904 | LR: 0.024479 | Tokens/s: 31598
Epoch 1 | Batch  69000 | Loss: 2.5876 | LR: 0.024472 | Tokens/s: 31636
Epoch 1 | Batch  70000 | Loss: 2.5834 | LR: 0.024464 | Tokens/s: 31645
Epoch 1 | Batch  71000 | Loss: 2.5805 | LR: 0.024456 | Tokens/s: 31663
