Building vocabulary...

--- Top 10 most frequent words (subsampling) ---
  'the   ' | count: 1061396 | discard prob: 98.7%
  'of    ' | count: 593677  | discard prob: 98.3%
  'and   ' | count: 416629  | discard prob: 98.0%
  'one   ' | count: 411764  | discard prob: 97.9%
  'in    ' | count: 372201  | discard prob: 97.8%
  'a     ' | count: 325873  | discard prob: 97.7%
  'to    ' | count: 316376  | discard prob: 97.6%
  'zero  ' | count: 264975  | discard prob: 97.4%
  'nine  ' | count: 250430  | discard prob: 97.3%
  'two   ' | count: 192644  | discard prob: 97.0%
--------------------------------------------------

--------------------------------------------------
Training config:
  Vocab size:     71290 tokens
  Embedding dim:  100
  Epochs:         5
  Batch size:     256
  Window size:    5
  Neg samples:    5
  Optimizer:      sgld
  Learning rate:  0.025
--------------------------------------------------
Epoch 1 | Batch  49000 | Loss: 2.6644 | LR: 0.024625 | Tokens/s: 31006 | Snapshots: 0
Epoch 1 | Batch  50000 | Loss: 2.6594 | LR: 0.024617 | Tokens/s: 31042 | Snapshots: 0
Epoch 1 | Batch  51000 | Loss: 2.6547 | LR: 0.024610 | Tokens/s: 31082 | Snapshots: 0
Epoch 1 | Batch  52000 | Loss: 2.6500 | LR: 0.024602 | Tokens/s: 31101 | Snapshots: 0
Epoch 1 | Batch  53000 | Loss: 2.6460 | LR: 0.024594 | Tokens/s: 31124 | Snapshots: 0
Epoch 1 | Batch  54000 | Loss: 2.6421 | LR: 0.024587 | Tokens/s: 31149 | Snapshots: 0
Epoch 1 | Batch  55000 | Loss: 2.6384 | LR: 0.024579 | Tokens/s: 31183 | Snapshots: 0
Epoch 1 | Batch  56000 | Loss: 2.6343 | LR: 0.024571 | Tokens/s: 31212 | Snapshots: 0
Epoch 1 | Batch  57000 | Loss: 2.6292 | LR: 0.024564 | Tokens/s: 31250 | Snapshots: 0
Epoch 1 | Batch  58000 | Loss: 2.6256 | LR: 0.024556 | Tokens/s: 31267 | Snapshots: 0
Epoch 1 | Batch  59000 | Loss: 2.6209 | LR: 0.024548 | Tokens/s: 31276 | Snapshots: 0
Epoch 1 | Batch  60000 | Loss: 2.6173 | LR: 0.024541 | Tokens/s: 31297 | Snapshots: 0
Epoch 1 | Batch  61000 | Loss: 2.6135 | LR: 0.024533 | Tokens/s: 31323 | Snapshots: 0
